footprint,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
35,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
35.5,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
36,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
36.5,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
37,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
37.5,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
38,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
38.5,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
39,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
39.5,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
40,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
40.5,244,237,228,217,206,194.7,184.9,175.3,166.1,157.2,150.2,143.3,136.8,130.5
41,244.02,237,228.32,217,206.22,194.7,184.9,175.3,166.31,157.2,150.2,143.34,136.9,130.5
41.5,246.38,239.18,230.68,219.28,208.58,196.895,187.025,177.255,168.315,158.96,152.035,145.11,138.6,132.09
42,248.74,241.54,233.04,221.64,210.94,199.16,189.2,179.34,170.32,160.88,153.88,146.88,140.3,133.72
42.5,251.1,243.9,235.4,224,213.3,201.425,191.375,181.425,172.325,162.8,155.725,148.65,142,135.35
43,253.46,246.26,237.76,226.36,215.66,203.69,193.55,183.51,174.33,164.72,157.57,150.42,143.7,136.98
43.5,255.82,248.62,240.12,228.72,218.02,205.955,195.725,185.595,176.335,166.64,159.415,152.19,145.4,138.61
44,258.18,250.98,242.48,231.08,220.38,208.22,197.9,187.68,178.34,168.56,161.26,153.96,147.1,140.24
44.5,260.54,253.34,244.84,233.44,222.74,210.485,200.075,189.765,180.345,170.48,163.105,155.73,148.8,141.87
45,262.9,255.7,247.2,235.8,225.1,212.75,202.25,191.85,182.35,172.4,164.95,157.5,150.5,143.5
45.5,265.26,258.06,249.56,238.16,227.46,215.015,204.425,193.935,184.355,174.32,166.795,159.27,152.2,145.13
46,267.62,260.42,251.92,240.52,229.82,217.28,206.6,196.02,186.36,176.24,168.64,161.04,153.9,146.76
46.5,269.98,262.78,254.28,242.88,232.18,219.545,208.775,198.105,188.365,178.16,170.485,162.81,155.6,148.39
47,272.34,265.14,256.64,245.24,234.54,221.81,210.95,200.19,190.37,180.08,172.33,164.58,157.3,150.02
47.5,274.7,267.5,259,247.6,236.9,224.075,213.125,202.275,192.375,182,174.175,166.35,159,151.65
48,277.06,269.86,261.36,249.96,239.26,226.34,215.3,204.36,194.38,183.92,176.02,168.12,160.7,153.28
48.5,279.42,272.22,263.72,252.32,241.62,228.605,217.475,206.445,196.385,185.84,177.865,169.89,162.4,154.91
49,281.78,274.58,266.08,254.68,243.98,230.87,219.65,208.53,198.39,187.76,179.71,171.66,164.1,156.54
49.5,284.14,276.94,268.44,257.04,246.34,233.135,221.825,210.615,200.395,189.68,181.555,173.43,165.8,158.17
50,286.5,279.3,270.8,259.4,248.7,235.4,224,212.7,202.4,191.6,183.4,175.2,167.5,159.8
50.5,288.86,281.66,273.16,261.76,251.06,237.665,226.175,214.785,204.405,193.52,185.245,176.97,169.2,161.43
51,291.22,284.02,275.52,264.12,253.42,239.93,228.35,216.87,206.41,195.44,187.09,178.74,170.9,163.06
51.5,293.58,286.38,277.88,266.48,255.78,242.195,230.525,218.955,208.415,197.36,188.935,180.51,172.6,164.69
52,295.94,288.74,280.24,268.84,258.14,244.46,232.7,221.04,210.42,199.28,190.78,182.28,174.3,166.32
52.5,298.3,291.1,282.6,271.2,260.5,246.725,234.875,223.125,212.425,201.2,192.625,184.05,176,167.95
53,300.66,293.46,284.96,273.56,262.86,248.99,237.05,225.21,214.43,203.12,194.47,185.82,177.7,169.58
53.5,303.02,295.82,287.32,275.92,265.22,251.255,239.225,227.295,216.435,205.04,196.315,187.59,179.4,171.21
54,305.38,298.18,289.68,278.28,267.58,253.52,241.4,229.38,218.44,206.96,198.16,189.36,181.1,172.84
54.5,307.74,300.54,292.04,280.64,269.94,255.785,243.575,231.465,220.445,208.88,200.005,191.13,182.8,174.47
55,310.1,302.9,294.4,283,272.3,258.05,245.75,233.55,222.45,210.8,201.85,192.9,184.5,176.1
55.5,312.46,305.26,296.76,285.36,274.66,260.315,247.925,235.635,224.455,212.72,203.695,194.67,186.2,177.73
56,314.82,307,299,287.72,277,262.58,250.1,237.72,226.2,214.64,205.5,196.44,187.8,179.36
56.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
57,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
57.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
58,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
58.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
59,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
59.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
60,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
60.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
61,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
61.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
62,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
62.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
63,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
63.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
64,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
64.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
65,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
65.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
66,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
66.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
67,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
67.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
68,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
68.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
69,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
69.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
70,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
70.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
71,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
71.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
72,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
72.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
73,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
73.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
74,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
74.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
75,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
75.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
76,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
76.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
77,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
77.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
78,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
78.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
79,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
79.5,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
80,315,307,299,288,277,262.7,250.1,238,226.2,214.9,205.5,196.5,187.8,179.5
